Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
Freeway,1996,18+,6.8/10,64/100,+ Rent or Buy,5900
Project A,1983,13+,7.4/10,64/100,+ Rent or Buy,5900
Two Distant Strangers,2020,18+,6.9/10,64/100,,5900
The Parallax View,1974,18+,7.1/10,64/100,+ Rent or Buy,5900
The Mortal Instruments: City of Bones,2013,13+,5.9/10,64/100,+ Rent or Buy,5900
Chasing Mavericks,2012,7+,7.2/10,64/100,+ Rent or Buy,5900
Berlin Syndrome,2017,18+,6.3/10,64/100,+ Rent or Buy,5900
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,7+,6.2/10,64/100,+ Rent or Buy,5900
The International,2009,18+,6.5/10,64/100,Rent or Buy,5900
Saw,2003,N/A,7.6/10,64/100,Rent or Buy,5900
The Day the Earth Stood Still,2008,13+,5.5/10,64/100,+ Rent or Buy,5900
Fatman,2020,18+,5.9/10,64/100,+ Rent or Buy,5900
Max Dugan Returns,1983,7+,6.6/10,64/100,Rent or Buy,5900
The Dead Pool,1988,18+,6.3/10,64/100,Rent or Buy,5900
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,18+,7.8/10,64/100,+ Rent or Buy,5900
Lone Star,1996,18+,7.4/10,64/100,Rent or Buy,5900
Dil Se..,1998,13+,7.6/10,64/100,+ Rent or Buy,5900
The Thieves,2012,N/A,6.8/10,64/100,hiya+ Rent or Buy,5900
Romy and Michele's High School Reunion,1997,18+,6.2/10,64/100,Rent or Buy,5900
Cry-Baby,1990,13+,6.5/10,64/100,+ Rent or Buy,5900
Time,2006,N/A,7.2/10,64/100,,5900
The Smurfs,2011,7+,5.4/10,64/100,+ Rent or Buy,5900
In Your Hands,2004,N/A,6.8/10,64/100,,5900
The Limey,1999,18+,7.0/10,64/100,+ Rent or Buy,5900
Son of Batman,2014,13+,6.7/10,64/100,+ Rent or Buy,5900
Mayhem,2017,16+,6.4/10,64/100,+ Rent or Buy,5900
The Grandmaster,2013,13+,6.6/10,64/100,+ Rent or Buy,5900
Simon Killer,2012,N/A,6.3/10,64/100,+ Rent or Buy,5900
Kabali,2016,18+,6.2/10,64/100,+ Rent or Buy,5900
Welcome to the Sticks,2008,N/A,7.1/10,64/100,+ Rent or Buy,5900
The Lego Ninjago Movie,2017,7+,6.0/10,64/100,+ Rent or Buy,5900
F for Fake,1973,7+,7.8/10,64/100,+ Rent or Buy,5900
Mademoiselle Chambon,2009,N/A,6.9/10,64/100,+ Rent or Buy,5900
Quigley Down Under,1990,13+,6.9/10,64/100,+ Rent or Buy,5900
Sergio,2020,18+,6.1/10,64/100,,5900
Kickboxer,1989,18+,6.5/10,64/100,+ Rent or Buy,5900
An American Tail: Fievel Goes West,1991,all,6.5/10,64/100,+ Rent or Buy,5950
Avenue Montaigne,2006,13+,6.7/10,64/100,Rent or Buy,5950
We Are Your Friends,2015,18+,6.2/10,64/100,+ Rent or Buy,5950
Tau,2018,18+,5.8/10,64/100,,5950
To All the Boys: P.S. I Still Love You,2020,16+,6.0/10,64/100,,5950
The Wildest Dream,2010,7+,7.3/10,64/100,Rent or Buy,5950
Dying to Survive,2018,N/A,7.9/10,64/100,+ Rent or Buy,5950
An American in Paris,1951,N/A,7.2/10,64/100,Rent or Buy,5950
The Magdalene Sisters,2002,18+,7.7/10,64/100,+ Rent or Buy,5950
Astro Boy,2009,7+,6.3/10,64/100,+ Rent or Buy,5950
Memphis Belle,1990,13+,6.9/10,64/100,+ Rent or Buy,5950
Detroit Rock City,1999,18+,6.9/10,64/100,+ Rent or Buy,5950
In Cold Blood,1967,18+,7.9/10,64/100,Rent or Buy,5950
Twilight Zone: The Movie,1983,7+,6.5/10,64/100,+ Rent or Buy,5950
Mishima: A Life in Four Chapters,1985,18+,8.0/10,64/100,+ Rent or Buy,5950
The Ox-Bow Incident,1943,N/A,8.0/10,64/100,+ Rent or Buy,5950
That's My Boy,2012,18+,5.5/10,64/100,+ Rent or Buy,5950
In the Tall Grass,2019,18+,5.4/10,64/100,,5950
Intolerance: Love's Struggle Throughout the Ages,1916,N/A,7.7/10,64/100,+ Rent or Buy,5950
Paranormal Activity 3,2011,18+,5.8/10,64/100,+ Rent or Buy,5950
Penguin Highway,2018,7+,7.1/10,64/100,+ Rent or Buy,5950
The Goldfinch,2019,18+,6.3/10,64/100,+ Rent or Buy,5950
The Phantom of the Opera at the Royal Albert Hall,2011,N/A,8.8/10,64/100,Rent or Buy,5950
Words on Bathroom Walls,2020,13+,7.2/10,64/100,+ Rent or Buy,5950
Baby's Day Out,1994,7+,6.2/10,64/100,+ Rent or Buy,5950
The Howling,1981,18+,6.6/10,64/100,Rent or Buy,5950
Nobody's Fool,1994,18+,7.4/10,64/100,+ Rent or Buy,5950
Local Hero,1983,7+,7.4/10,64/100,+ Rent or Buy,5950
Get on Up,2014,13+,6.9/10,64/100,+ Rent or Buy,5950
Map of the Human Heart,1993,18+,7.1/10,64/100,Rent or Buy,5950
Frankenstein Must Be Destroyed,1969,13+,6.8/10,64/100,Rent or Buy,5950
Rob Roy,1995,18+,6.9/10,64/100,+ Rent or Buy,5950
No Reservations,2007,7+,6.3/10,64/100,+ Rent or Buy,5950
"Life, and Nothing More...",1992,N/A,7.9/10,64/100,,5950
Apt Pupil,1998,18+,6.7/10,64/100,+ Rent or Buy,5950
Cocktail,1988,18+,5.9/10,64/100,Rent or Buy,5950
City for Conquest,1940,N/A,7.3/10,64/100,Rent or Buy,5950
"The Gangster, the Cop, the Devil",2019,N/A,6.9/10,64/100,hiya+ Rent or Buy,5950
Our Vinyl Weighs a Ton: This Is Stones Throw Records,2013,N/A,7.5/10,64/100,Rent or Buy,5950
Knock Knock,2015,18+,4.9/10,64/100,+ Rent or Buy,5950
Nixon,1996,16+,7.1/10,64/100,+ Rent or Buy,5950
The Funhouse,1981,18+,5.9/10,64/100,Rent or Buy,5950
Storytelling,2001,18+,6.8/10,64/100,Rent or Buy,5950
Hallam Foe,2007,18+,7.0/10,64/100,+ Rent or Buy,5950
Unfriended,2015,18+,5.5/10,64/100,+ Rent or Buy,5950
The Amityville Horror,1979,18+,6.2/10,64/100,+ Rent or Buy,5950
Tales from the Script,2009,7+,7.1/10,64/100,,5950
The Black Cauldron,1985,7+,6.4/10,64/100,+ Rent or Buy,5950
John Mulaney: The Comeback Kid,2015,7+,8.0/10,64/100,,5950
Rent: Filmed Live on Broadway,2008,18+,8.1/10,64/100,Rent or Buy,5950
Roxanne,1987,7+,6.6/10,64/100,+ Rent or Buy,6000
Operation Petticoat,1959,7+,7.3/10,64/100,+ Rent or Buy,6000
Haywire,2012,18+,5.8/10,64/100,+ Rent or Buy,6000
Angels in the Outfield,1951,all,7.1/10,64/100,Rent or Buy,6000
Hardware,1990,18+,6.0/10,64/100,Rent or Buy,6000
...And Justice for All,1979,18+,7.4/10,64/100,Rent or Buy,6000
Space Cowboys,2000,13+,6.4/10,64/100,Rent or Buy,6000
New Jack City,1991,18+,6.7/10,64/100,Rent or Buy,6000
Summer Wars,2009,7+,7.5/10,64/100,Rent or Buy,6000
The Killers,1946,N/A,7.8/10,64/100,Rent or Buy,6000
Naruto Shippuden the Movie,2007,13+,6.9/10,64/100,+ Rent or Buy,6000
Captive State,2019,13+,6.0/10,64/100,Rent or Buy,6000
The Muppets Take Manhattan,1984,all,6.9/10,64/100,+ Rent or Buy,6000
Explorers,1985,7+,6.5/10,64/100,+ Rent or Buy,6000
Sanctum,2011,18+,5.9/10,64/100,+ Rent or Buy,6000
Trapeze,1956,N/A,6.8/10,64/100,Rent or Buy,6000
The Texas Chainsaw Massacre: The Beginning,2006,18+,5.8/10,64/100,+ Rent or Buy,6000
The SpongeBob Movie: Sponge Out of Water,2015,7+,6.0/10,64/100,Rent or Buy,6000
Orange County,2002,13+,6.2/10,64/100,+ Rent or Buy,6000
TINA,2021,18+,8.1/10,64/100,+ Rent or Buy,6000
"Two Days, One Night",2014,13+,7.3/10,64/100,Rent or Buy,6000
Catfish,2010,13+,7.1/10,64/100,Rent or Buy,6000
Citizen X,1996,18+,7.5/10,64/100,+ Rent or Buy,6000
La Commare Secca,1962,N/A,6.9/10,64/100,,6000
Turbo Kid,2015,N/A,6.7/10,64/100,+ Rent or Buy,6000
The Pacifier,2005,7+,5.6/10,64/100,+ Rent or Buy,6000
The Stanford Prison Experiment,2015,18+,6.9/10,64/100,Rent or Buy,6000
Black Sheep,1996,13+,6.3/10,64/100,+ Rent or Buy,6000
FernGully: The Last Rainforest,1992,all,6.5/10,64/100,Rent or Buy,6000
Vizontele,2001,N/A,8.0/10,64/100,+ Rent or Buy,6000
Dead End,2003,18+,6.6/10,64/100,+ Rent or Buy,6000
Been So Long,2018,N/A,5.5/10,64/100,,6000
The Shaggy Dog,1959,all,6.5/10,64/100,+ Rent or Buy,6000
Shuddh Desi Romance,2013,N/A,6.0/10,64/100,+ Rent or Buy,6000
Danny Collins,2015,18+,7.0/10,64/100,+ Rent or Buy,6000
The Bear,1988,7+,7.7/10,64/100,+ Rent or Buy,6000
Armour of God,1986,18+,7.0/10,64/100,+ Rent or Buy,6000
Dragonfly,2002,13+,6.1/10,64/100,+ Rent or Buy,6000
"Hello, My Name Is Doris",2015,18+,6.6/10,64/100,+ Rent or Buy,6000
Rurouni Kenshin Part II: Kyoto Inferno,2014,18+,7.6/10,64/100,Rent or Buy,6000
Little Monsters,2019,18+,6.3/10,64/100,,6000
May,2002,18+,6.6/10,64/100,+ Rent or Buy,6000
Creature from the Black Lagoon,1954,all,7.0/10,64/100,+ Rent or Buy,6000
Pride and Prejudice and Zombies,2016,13+,5.8/10,64/100,Rent or Buy,6000
The Anderson Tapes,1971,7+,6.4/10,64/100,Rent or Buy,6000
Entrapment,1999,13+,6.3/10,64/100,Rent or Buy,6000
Northwest,2013,N/A,6.8/10,64/100,Rent or Buy,6000
Trailer Park Boys,1999,N/A,7.9/10,64/100,,6000
Police Story 2,1988,13+,7.1/10,64/100,+ Rent or Buy,6000
Serenity,2019,18+,5.4/10,64/100,+ Rent or Buy,6000
The Country Teacher,2008,N/A,6.9/10,64/100,,6050
After Earth,2013,13+,4.8/10,64/100,+ Rent or Buy,6050
Dogman,2018,N/A,7.2/10,64/100,+ Rent or Buy,6050
George Carlin: It's Bad for Ya!,2008,N/A,8.6/10,64/100,+ Rent or Buy,6050
The Weather Man,2005,18+,6.5/10,64/100,+ Rent or Buy,6050
The Odd Life of Timothy Green,2012,7+,6.6/10,64/100,+ Rent or Buy,6050
The Wolf's Call,2019,16+,6.9/10,64/100,+ Rent or Buy,6050
Human Nature,2019,N/A,7.7/10,64/100,+ Rent or Buy,6050
Teen Titans: The Judas Contract,2017,13+,7.0/10,64/100,+ Rent or Buy,6050
Jaws 2,1978,7+,5.8/10,64/100,+ Rent or Buy,6050
Captain Blood,1935,N/A,7.7/10,64/100,Rent or Buy,6050
Untraceable,2008,18+,6.2/10,64/100,+ Rent or Buy,6050
Dreams,1990,7+,7.8/10,64/100,Rent or Buy,6050
The Wedding Date,2005,13+,6.2/10,64/100,+ Rent or Buy,6050
22 vs. Earth,2021,all,6.5/10,64/100,,6050
Noroi: The Curse,2005,N/A,7.0/10,64/100,+ Rent or Buy,6050
The Body Remembers When the World Broke Open,2019,18+,6.9/10,64/100,,6050
Reds,1981,7+,7.3/10,64/100,+ Rent or Buy,6050
Visaranai,2016,N/A,8.5/10,64/100,,6050
The Villainess,2017,N/A,6.7/10,64/100,hiya+ Rent or Buy,6050
Struggle: The Life and Lost Art of Szukalski,2018,18+,8.0/10,64/100,,6050
Effi Briest,1974,N/A,6.9/10,64/100,+ Rent or Buy,6050
Rachel Getting Married,2008,18+,6.7/10,64/100,+ Rent or Buy,6050
Beverly Hills Cop III,1994,18+,5.6/10,64/100,+ Rent or Buy,6050
Flying Leathernecks,1951,N/A,6.4/10,64/100,Rent or Buy,6050
Joe Dirt,2001,13+,6.0/10,64/100,Rent or Buy,6050
Journey 2: The Mysterious Island,2012,7+,5.8/10,64/100,+ Rent or Buy,6050
Igby Goes Down,2002,18+,6.9/10,64/100,+ Rent or Buy,6050
Love Exposure,2009,N/A,8.1/10,64/100,Rent or Buy,6050
The Berlin File,2013,N/A,6.6/10,64/100,+ Rent or Buy,6050
Paan Singh Tomar,2012,7+,8.2/10,64/100,,6050
Private Parts,1997,18+,6.9/10,64/100,Rent or Buy,6050
The Indian in the Cupboard,1995,7+,6.0/10,64/100,+ Rent or Buy,6050
Grey Gardens,1976,7+,7.6/10,64/100,+ Rent or Buy,6050
MLK/FBI,2020,7+,6.9/10,64/100,+ Rent or Buy,6050
The Pearls of the Crown,1937,N/A,7.0/10,64/100,,6050
SlingShot,2014,N/A,7.7/10,64/100,+ Rent or Buy,6050
The Barretts of Wimpole Street,1934,N/A,7.0/10,64/100,Rent or Buy,6050
Arthur,1981,7+,6.9/10,64/100,+ Rent or Buy,6050
After.Life,2009,18+,5.9/10,64/100,+ Rent or Buy,6050
Diary of a Wimpy Kid: Rodrick Rules,2011,7+,6.5/10,64/100,+ Rent or Buy,6050
The Children's Hour,1961,N/A,7.8/10,64/100,Rent or Buy,6050
The Man in the Moon,1991,13+,7.3/10,64/100,+ Rent or Buy,6050
A Private War,2018,18+,6.7/10,64/100,+ Rent or Buy,6050
RBG,2018,7+,7.6/10,64/100,+ Rent or Buy,6050
Frozen,2010,18+,6.1/10,64/100,+ Rent or Buy,6050
The Negotiation,2018,N/A,6.7/10,64/100,Rent or Buy,6050
Rosencrantz & Guildenstern Are Dead,1991,7+,7.4/10,64/100,+ Rent or Buy,6050
Operation Condor,1991,13+,7.3/10,64/100,+ Rent or Buy,6050
Ghost Ship,2002,18+,5.5/10,64/100,+ Rent or Buy,6050
Footloose,2011,13+,5.9/10,64/100,+ Rent or Buy,6100
Dark Places,2015,18+,6.2/10,64/100,+ Rent or Buy,6100
Wiener-Dog,2016,18+,5.9/10,64/100,+ Rent or Buy,6100
The Assistant,2020,18+,6.3/10,64/100,+ Rent or Buy,6100
Mohabbatein,2000,7+,7.1/10,64/100,+ Rent or Buy,6100
The Man Who Fell to Earth,1976,18+,6.7/10,64/100,+ Rent or Buy,6100
Batman: Hush,2019,13+,6.9/10,64/100,+ Rent or Buy,6100
Can't Hardly Wait,1998,13+,6.5/10,64/100,+ Rent or Buy,6100
The Caine Mutiny,1954,N/A,7.7/10,64/100,Rent or Buy,6100
Muppets Most Wanted,2014,7+,6.4/10,64/100,+ Rent or Buy,6100
The Game Plan,2007,7+,6.1/10,64/100,+ Rent or Buy,6100
Ride Along 2,2016,13+,5.9/10,64/100,+ Rent or Buy,6100
The Joneses,2010,18+,6.4/10,64/100,+ Rent or Buy,6100
Radioactive,2020,13+,6.2/10,64/100,,6100
The Damned: Don't You Wish That We Were Dead,2015,N/A,7.2/10,64/100,+ Rent or Buy,6100
Brigsby Bear,2017,13+,7.3/10,64/100,+ Rent or Buy,6100
Ghostland,2018,18+,6.4/10,64/100,+ Rent or Buy,6100
Tracks,2013,13+,7.2/10,64/100,+ Rent or Buy,6100
The Last Days,1998,13+,7.8/10,64/100,+ Rent or Buy,6100
Gantz:O,2016,18+,7.1/10,64/100,+ Rent or Buy,6100
Chaos,2005,18+,6.5/10,64/100,+ Rent or Buy,6100
Homo Sapiens,2016,N/A,7.1/10,64/100,+ Rent or Buy,6100
Time of the Gypsies,1988,18+,8.2/10,64/100,Rent or Buy,6100
The Prom,2020,13+,5.9/10,64/100,,6100
Suicide Kings,1998,18+,6.9/10,64/100,+ Rent or Buy,6100
Amer,2009,N/A,6.2/10,64/100,Rent or Buy,6100
In the Fade,2017,18+,7.1/10,64/100,mons+ Rent or Buy,6100
Author: The JT LeRoy Story,2016,18+,7.1/10,64/100,+ Rent or Buy,6100
Bunny and the Bull,2009,N/A,6.7/10,64/100,Rent or Buy,6100
Amateur,2018,18+,5.9/10,64/100,,6100
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,13+,7.3/10,64/100,Rent or Buy,6100
The Phantom of the Opera,1925,N/A,7.6/10,64/100,dove+ Rent or Buy,6100
Sword Art Online: The Movie - Ordinal Scale,2017,13+,7.4/10,64/100,+ Rent or Buy,6100
Kundun,1997,13+,7.0/10,64/100,Rent or Buy,6100
A Single Girl,1995,18+,6.9/10,64/100,+ Rent or Buy,6100
The Parent Trap,1961,all,7.1/10,64/100,+ Rent or Buy,6100
Maudie,2016,13+,7.6/10,64/100,+ Rent or Buy,6100
Athadu,2005,N/A,8.2/10,64/100,,6100
Final Destination 5,2011,18+,5.8/10,64/100,Rent or Buy,6100
An Egyptian Story,1982,N/A,7.2/10,64/100,,6100
Beastie Boys Story,2020,18+,7.8/10,64/100,,6100
The Double,2014,18+,6.5/10,64/100,+ Rent or Buy,6100
The Lord of the Rings,1978,7+,6.2/10,64/100,+ Rent or Buy,6100
Amandla! A Revolution in Four-Part Harmony,2002,13+,7.4/10,64/100,+ Rent or Buy,6100
Awake,2007,18+,6.5/10,64/100,Rent or Buy,6100
Bananas,1971,13+,7.0/10,64/100,+ Rent or Buy,6100
Downloaded,2013,N/A,6.9/10,64/100,+ Rent or Buy,6100
Planet Hulk,2010,13+,6.8/10,64/100,+ Rent or Buy,6100
Wimbledon,2004,13+,6.3/10,64/100,+ Rent or Buy,6100
Diner,1982,18+,7.1/10,64/100,+ Rent or Buy,6100
The Prodigy,2019,18+,5.9/10,64/100,+ Rent or Buy,6150
Landfill Harmonic,2015,7+,8.1/10,64/100,+ Rent or Buy,6150
Wicker Park,2004,13+,7.0/10,64/100,+ Rent or Buy,6150
"Sarah, Plain and Tall",1991,all,7.3/10,64/100,,6150
Hang 'em High,1968,13+,7.0/10,64/100,Rent or Buy,6150
The Silence,1963,18+,7.9/10,64/100,+ Rent or Buy,6150
Final Destination 3,2006,18+,5.8/10,64/100,Rent or Buy,6150
Bad Words,2013,18+,6.6/10,64/100,Rent or Buy,6150
Pusher II: With Blood on My Hands,2004,N/A,7.4/10,64/100,+ Rent or Buy,6150
Captain Underpants: The First Epic Movie,2017,7+,6.2/10,64/100,+ Rent or Buy,6150
Mosul,2019,N/A,8.0/10,64/100,+ Rent or Buy,6150
The Motive,2017,18+,6.5/10,64/100,,6150
Mystic India,2005,N/A,7.7/10,64/100,+ Rent or Buy,6150
The One,2001,13+,5.9/10,64/100,+ Rent or Buy,6150
The Sweetest Thing,2002,18+,5.2/10,64/100,+ Rent or Buy,6150
Lingua Franca,2020,N/A,6.4/10,64/100,,6150
Happythankyoumoreplease,2011,18+,6.8/10,64/100,+ Rent or Buy,6150
Shadow in the Cloud,2021,18+,4.8/10,64/100,+ Rent or Buy,6150
Enemy Mine,1985,13+,6.9/10,64/100,Rent or Buy,6150
Persuasion,1995,7+,7.7/10,64/100,+ Rent or Buy,6150
The Wolf of Snow Hollow,2020,18+,6.2/10,64/100,+ Rent or Buy,6150
The Amazing Johnathan Documentary,2019,N/A,6.5/10,64/100,,6150
Vacancy,2007,18+,6.2/10,64/100,+ Rent or Buy,6150
Black Sea,2014,18+,6.4/10,64/100,+ Rent or Buy,6150
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,7+,7.1/10,64/100,+ Rent or Buy,6150
In the Family,2017,N/A,7.7/10,64/100,+ Rent or Buy,6150
Anand,1971,18+,8.3/10,64/100,,6150
Wolf Creek,2005,18+,6.2/10,64/100,Rent or Buy,6150
Tyrannosaur,2011,N/A,7.6/10,64/100,+ Rent or Buy,6150
Beaches,1988,13+,6.9/10,64/100,+ Rent or Buy,6150
Fools Rush In,1997,13+,6.1/10,64/100,+ Rent or Buy,6150
Johnny Mnemonic,1995,18+,5.7/10,64/100,+ Rent or Buy,6150
Think Like a Man,2012,13+,6.5/10,64/100,+ Rent or Buy,6150
Party Girl,1958,N/A,7.0/10,64/100,Rent or Buy,6150
Charm City Kings,2020,18+,6.7/10,64/100,,6150
Winter's Tale,2014,13+,6.2/10,64/100,+ Rent or Buy,6150
The Do-Over,2016,18+,5.7/10,64/100,+ Rent or Buy,6150
The Seven Year Itch,1955,N/A,7.1/10,64/100,Rent or Buy,6150
Tomboy,2011,N/A,7.4/10,64/100,+ Rent or Buy,6150
Cocaine Cowboys,2006,18+,7.8/10,64/100,doxwarr+ Rent or Buy,6150
Automata,2014,18+,6.1/10,64/100,+ Rent or Buy,6150
The Bleeding Edge,2016,N/A,6.8/10,64/100,+ Rent or Buy,6150
Roger & Me,1989,18+,7.5/10,64/100,+ Rent or Buy,6150
Samurai I: Musashi Miyamoto,1954,N/A,7.5/10,64/100,+ Rent or Buy,6150
61*,2001,18+,7.8/10,64/100,+ Rent or Buy,6150
Stranger by the Lake,2013,N/A,6.9/10,64/100,+ Rent or Buy,6150
D2: The Mighty Ducks,1994,7+,6.1/10,64/100,+ Rent or Buy,6150
A Family Man,2017,18+,6.5/10,64/100,+ Rent or Buy,6150
Athlete A,2020,13+,7.6/10,64/100,,6150
Toilet: A Love Story,2017,N/A,7.2/10,64/100,,6150
Absolutely Anything,2015,18+,6.0/10,64/100,+ Rent or Buy,6200
Bridget Jones: The Edge of Reason,2004,18+,6.0/10,64/100,+ Rent or Buy,6200
"Now, Voyager",1942,N/A,7.9/10,64/100,+ Rent or Buy,6200
The Rite,2011,13+,6.0/10,64/100,+ Rent or Buy,6200
The First Wives Club,1996,7+,6.4/10,64/100,+ Rent or Buy,6200
What's Your Number?,2011,18+,6.1/10,64/100,Rent or Buy,6200
Marc Maron: Too Real,2017,N/A,7.2/10,64/100,,6200
In & Out,1997,13+,6.4/10,64/100,+ Rent or Buy,6200
That Awkward Moment,2014,18+,6.1/10,64/100,Rent or Buy,6200
Oldboy,2013,18+,5.7/10,64/100,Rent or Buy,6200
The Great Muppet Caper,1981,all,7.2/10,64/100,+ Rent or Buy,6200
Waking Ned,1998,7+,7.3/10,64/100,Rent or Buy,6200
The Empty Man,2020,18+,6.1/10,64/100,Rent or Buy,6200
Hoodwinked!,2005,7+,6.4/10,64/100,Rent or Buy,6200
The Man Who Killed Don Quixote,2018,N/A,6.4/10,64/100,+ Rent or Buy,6200
Brüno,2009,18+,5.8/10,64/100,+ Rent or Buy,6200
A Charlie Brown Thanksgiving,1973,all,7.7/10,64/100,,6200
Hour of the Wolf,1968,N/A,7.6/10,64/100,+ Rent or Buy,6200
"To Sir, with Love",1967,13+,7.7/10,64/100,Rent or Buy,6200
O'Horten,2007,13+,6.7/10,64/100,Rent or Buy,6200
Irrational Man,2015,18+,6.6/10,64/100,+ Rent or Buy,6200
Greta,2019,18+,6.0/10,64/100,Rent or Buy,6200
The Poughkeepsie Tapes,2009,18+,6.0/10,64/100,,6200
Mr. Bean's Holiday,2007,all,6.4/10,64/100,Rent or Buy,6200
Revolver,2005,18+,6.4/10,64/100,Rent or Buy,6200
For All Mankind,1989,N/A,8.2/10,64/100,+ Rent or Buy,6200
Semi-Pro,2008,18+,5.8/10,64/100,+ Rent or Buy,6200
Sophie Scholl: The Final Days,2005,N/A,7.6/10,64/100,,6200
Broken City,2013,18+,6.2/10,64/100,+ Rent or Buy,6200
The Best of Enemies,2019,13+,7.2/10,64/100,Rent or Buy,6200
Step Up 3D,2010,13+,6.2/10,64/100,+ Rent or Buy,6200
Orlando,1992,13+,7.2/10,64/100,+ Rent or Buy,6200
The World to Come,2021,18+,6.2/10,64/100,+ Rent or Buy,6200
Bad Boy Bubby,1993,N/A,7.4/10,64/100,+ Rent or Buy,6200
Ulysses,1967,N/A,6.5/10,64/100,Rent or Buy,6200
Shakuntala Devi,2020,N/A,6.1/10,64/100,,6200
Their Finest,2017,18+,6.8/10,64/100,+ Rent or Buy,6200
Darkman,1990,18+,6.4/10,64/100,Rent or Buy,6200
Jerry Seinfeld: I'm Telling You for the Last Time,1998,all,7.9/10,64/100,,6200
Wonder Woman,2009,13+,7.3/10,64/100,+ Rent or Buy,6200
Padmaavat,2018,N/A,7.0/10,64/100,,6200
Goliyon Ki Raasleela Ram-Leela,2013,13+,6.4/10,64/100,Rent or Buy,6200
Colette,2018,18+,6.7/10,64/100,+ Rent or Buy,6200
Blue Story,2019,18+,6.0/10,64/100,+ Rent or Buy,6200
The Human Comedy,1943,N/A,7.0/10,64/100,+ Rent or Buy,6200
Lower City,2005,18+,6.5/10,64/100,,6200
The Bridge,2006,18+,7.2/10,64/100,+ Rent or Buy,6200
Andre the Giant,2018,16+,7.8/10,64/100,+ Rent or Buy,6200
Beyond the Clouds,2018,N/A,7.0/10,64/100,,6200
Roar,1981,7+,6.2/10,64/100,Rent or Buy,6200
Spring Breakers,2013,18+,5.3/10,64/100,+ Rent or Buy,6250
Haunt,2019,all,6.3/10,64/100,+ Rent or Buy,6250
Repo! The Genetic Opera,2008,18+,6.6/10,64/100,+ Rent or Buy,6250
Insignificance,1985,18+,6.6/10,64/100,,6250
The Immigrant,2013,18+,6.6/10,64/100,+ Rent or Buy,6250
Cheap Thrills,2013,N/A,6.7/10,64/100,+ Rent or Buy,6250
Black Sunday,1960,N/A,7.2/10,64/100,+ Rent or Buy,6250
Babylon 5: In the Beginning,1998,7+,7.7/10,64/100,Rent or Buy,6250
Tourist Trap,1979,7+,6.2/10,64/100,full+ Rent or Buy,6250
Investigation of a Citizen Above Suspicion,1970,18+,8.1/10,64/100,+ Rent or Buy,6250
Stand Up Guys,2012,18+,6.5/10,64/100,+ Rent or Buy,6250
Sólo con tu pareja,1992,N/A,6.9/10,64/100,+ Rent or Buy,6250
Vincent Wants to Sea,2010,N/A,7.0/10,64/100,Rent or Buy,6250
Made in Heaven,1987,7+,6.4/10,64/100,Rent or Buy,6250
Willard,2003,13+,6.1/10,64/100,Rent or Buy,6250
Mystery Science Theater 3000: The Movie,1996,13+,7.3/10,64/100,+ Rent or Buy,6250
Primary Colors,1998,18+,6.7/10,64/100,Rent or Buy,6250
Me and You and Everyone We Know,2005,18+,7.3/10,64/100,+ Rent or Buy,6250
School Ties,1992,13+,6.9/10,64/100,+ Rent or Buy,6250
Love & Friendship,2016,13+,6.4/10,64/100,+ Rent or Buy,6250
47 Meters Down,2017,13+,5.7/10,64/100,+ Rent or Buy,6250
Burning Man,2011,N/A,6.5/10,64/100,Rent or Buy,6250
The Awful Truth,1937,N/A,7.7/10,64/100,Rent or Buy,6250
HyperNormalisation,2016,N/A,8.3/10,64/100,,6250
Ek Ladki Ko Dekha Toh Aisa Laga,2019,N/A,5.5/10,64/100,,6250
Mimic,1997,18+,6.0/10,64/100,+ Rent or Buy,6250
Among the Believers,2015,N/A,7.6/10,64/100,+ Rent or Buy,6250
Ma,2019,18+,5.6/10,64/100,Rent or Buy,6250
Zorba the Greek,1964,N/A,7.7/10,64/100,Rent or Buy,6250
Guilty of Romance,2011,N/A,6.8/10,64/100,Rent or Buy,6250
The Blob,1988,18+,6.5/10,64/100,Rent or Buy,6250
xXx: Return of Xander Cage,2017,13+,5.2/10,64/100,Rent or Buy,6250
House of Games,1987,18+,7.3/10,64/100,+ Rent or Buy,6250
Vampire Academy,2014,13+,5.5/10,64/100,+ Rent or Buy,6250
The Visitors,1993,18+,7.1/10,64/100,+ Rent or Buy,6250
The Rhythm Section,2020,18+,5.3/10,64/100,+ Rent or Buy,6250
The Girlfriend Experience,2009,18+,5.5/10,64/100,Rent or Buy,6250
Snakes on a Plane,2006,18+,5.4/10,64/100,+ Rent or Buy,6250
TMNT,2007,7+,6.2/10,64/100,+ Rent or Buy,6250
Jin-Roh: The Wolf Brigade,1999,18+,7.4/10,64/100,+ Rent or Buy,6250
Major Barbara,1941,N/A,6.9/10,64/100,,6250
Dangerous Minds,1995,18+,6.5/10,64/100,Rent or Buy,6250
The Skeleton Twins,2014,18+,6.8/10,64/100,+ Rent or Buy,6250
To End All Wars,2001,18+,7.0/10,64/100,+ Rent or Buy,6250
